Stat ID	Income	Asian	Black	Latino	White	Age	Female	College	Good English	Full-time Job
518-Latino	14864	0	0	1	0	23.8	0.490122936	0.150257164	0.901386861	0.327500729
482-Black	15991	0	1	0	0	24.6	0.444016497	0.223548899	0.913585392	0.423725286
216-Black	21832	0	1	0	0	32.9	0.485968063	0.254532599	0.924594123	0.392486466
218-Black	14834	0	1	0	0	27.5	0.484592478	0.17658258	0.928615031	0.358930941
440-Black	18646	0	1	0	0	31.4	0.468711038	0.220167175	0.930748384	0.340713269
408-Black	22364	0	1	0	0	35.4	0.54147902	0.21969141	0.931447161	0.389663509
422-Black	15882	0	1	0	0	31.2	0.514954187	0.183885785	0.940135938	0.3595445
108-Black	12884	0	1	0	0	30.1	0.438189279	0.092894428	0.940561404	0.345571245
474-Latino	15115	0	0	1	0	25.5	0.509266931	0.113552797	0.94163462	0.325734384
408-White	46601	0	0	0	1	43.9	0.513356778	0.443764172	0.94468477	0.421993741
420-Black	16907	0	1	0	0	29.1	0.510672562	0.199492136	0.949160455	0.383719035
209-Black	15842	0	1	0	0	27.7	0.490378191	0.137617516	0.949477739	0.336348409
412-Black	14488	0	1	0	0	32.4	0.515617453	0.125755711	0.950331299	0.327052433
278-Black	20918	0	1	0	0	32.7	0.502933301	0.184531975	0.951747569	0.368641359
198-Black	17361	0	1	0	0	31.6	0.509739087	0.189833413	0.953283974	0.374461244
521-Black	18240	0	1	0	0	29.6	0.509407635	0.197423237	0.954331262	0.321016557
348-White	43759	0	0	0	1	45.3	0.501338455	0.406531031	0.954401884	0.379868289
536-Black	18856	0	1	0	0	31	0.449368479	0.219498581	0.954878121	0.386046344
176-White	39472	0	0	0	1	42.1	0.5095778	0.408087751	0.95683375	0.437187455
365-White	30331	0	0	0	1	55.9	0.496447836	0.289128289	0.95798607	0.268504633
330-Black	17197	0	1	0	0	29.7	0.503119136	0.249144482	0.959600087	0.309639504
154-White	31455	0	0	0	1	54.7	0.496108517	0.30539969	0.959950024	0.284990435
370-White	39143	0	0	0	1	49.9	0.508149068	0.369684338	0.961971105	0.364405764
532-Black	14677	0	1	0	0	27.2	0.500238175	0.135219506	0.965292466	0.287229633
238-Black	21720	0	1	0	0	28.3	0.431283481	0.290163206	0.965585255	0.458988882
382-White	28400	0	0	0	1	43.5	0.51320182	0.205402702	0.966020772	0.335280445
276-Black	17856	0	1	0	0	30.9	0.505047212	0.136821449	0.968406524	0.371054548
472-White	34734	0	0	0	1	44	0.511789944	0.337361648	0.969099889	0.355243389
464-Black	14665	0	1	0	0	29.7	0.518701333	0.129142307	0.969209368	0.299856161
357-Black	14580	0	1	0	0	27.1	0.480425682	0.194019822	0.969780398	0.293486102
548-Black	28436	0	1	0	0	35.5	0.534000307	0.276301865	0.97004022	0.455960317
240-Black	12454	0	1	0	0	27.6	0.496396778	0.122420908	0.970217698	0.254179114
106-Black	21252	0	1	0	0	32	0.45347318	0.308990133	0.970271333	0.389003134
