Stat ID	Income	Asian	Black	Latino	White	Age	Female	College	Good English	Full-time Job
330-Asian	19596	1	0	0	0	27	0.522536831	0.587169043	0.498301376	0.290339563
330-Asian	19596	1	0	0	0	27	0.522536831	0.587169043	0.498301376	0.290339563
450-Latino	12820	0	0	1	0	25	0.469452085	0.240075535	0.535018262	0.412204515
142-Latino	12267	0	0	1	0	25.7	0.44327398	0.182084267	0.540490746	0.462417521
268-Latino	10604	0	0	1	0	23.6	0.475796816	0.194532294	0.560079271	0.424748307
162-Latino	13042	0	0	1	0	29.3	0.479967321	0.110443876	0.56115554	0.364391446
370-Latino	20198	0	0	1	0	37.7	0.512547854	0.170048217	0.563236155	0.421775931
290-Latino	12565	0	0	1	0	24.1	0.455259539	0.234055045	0.572440264	0.480881922
174-Latino	11731	0	0	1	0	23.4	0.47607465	0.135289023	0.573963426	0.439354751
172-Latino	13667	0	0	1	0	25.6	0.478690238	0.213509405	0.574233342	0.431384002
268-Asian	22168	1	0	0	0	32.5	0.530692788	0.383983666	0.580384134	0.407881884
268-Asian	22168	1	0	0	0	32.5	0.530692788	0.383983666	0.580384134	0.407881884
122-Latino	13671	0	0	1	0	25.9	0.470673952	0.265155578	0.586032667	0.430538681
420-Asian	25263	1	0	0	0	30.9	0.528549081	0.509660534	0.588607595	0.459580933
420-Asian	25263	1	0	0	0	30.9	0.528549081	0.509660534	0.588607595	0.459580933
336-Latino	12987	0	0	1	0	24.8	0.413904583	0.182042748	0.59046389	0.461295419
406-Asian	23072	1	0	0	0	34.9	0.518394087	0.355559246	0.591658207	0.398279388
406-Asian	23072	1	0	0	0	34.9	0.518394087	0.355559246	0.591658207	0.398279388
556-Asian	21827	1	0	0	0	32.6	0.513776866	0.300253348	0.594241352	0.416341492
556-Asian	21827	1	0	0	0	32.6	0.513776866	0.300253348	0.594241352	0.416341492
416-Asian	23290	1	0	0	0	33.6	0.533490529	0.410668048	0.604020184	0.432837257
416-Asian	23290	1	0	0	0	33.6	0.533490529	0.410668048	0.604020184	0.432837257
368-Latino	13759	0	0	1	0	25.3	0.449175745	0.168362002	0.605137186	0.453867682
538-Asian	24418	1	0	0	0	32.6	0.524869042	0.394649108	0.605656862	0.462572899
538-Asian	24418	1	0	0	0	32.6	0.524869042	0.394649108	0.605656862	0.462572899
532-Asian	22387	1	0	0	0	26.9	0.51943128	0.531012795	0.608967011	0.315060055
532-Asian	22387	1	0	0	0	26.9	0.51943128	0.531012795	0.608967011	0.315060055
408-Asian	34706	1	0	0	0	36.3	0.518124991	0.537443652	0.610836939	0.450305566
408-Asian	34706	1	0	0	0	36.3	0.518124991	0.537443652	0.610836939	0.450305566
348-Asian	30681	1	0	0	0	39.9	0.530345471	0.49641904	0.611758687	0.406868398
348-Asian	30681	1	0	0	0	39.9	0.530345471	0.49641904	0.611758687	0.406868398
428-Asian	30219	1	0	0	0	34.3	0.520387122	0.520073494	0.612876522	0.434935412
428-Asian	30219	1	0	0	0	34.3	0.520387122	0.520073494	0.612876522	0.434935412
160-Asian	25767	1	0	0	0	27.1	0.496843111	0.573274024	0.613185445	0.300512013
160-Asian	25767	1	0	0	0	27.1	0.496843111	0.573274024	0.613185445	0.300512013
400-Latino	13311	0	0	1	0	25.1	0.463714848	0.235088558	0.613519705	0.454319548
408-Latino	18962	0	0	1	0	30.9	0.503998321	0.21969141	0.614753966	0.416258256
288-Latino	15955	0	0	1	0	27.2	0.486611817	0.237730071	0.61767696	0.456267352
206-Latino	14714	0	0	1	0	25.7	0.486598037	0.233384693	0.618060463	0.485623565
512-Latino	11557	0	0	1	0	21.7	0.484449471	0.092831356	0.619032183	0.471902771
273-Latino	13910	0	0	1	0	25.6	0.456406482	0.12141644	0.619650723	0.411089685
