Geo Code	Geo ID	CSA	Pop - Tot	Pop - White	Pop - Black	Pop - AmInd	Pop - Asian	Median Household Income	MHI - White	MHI - Black	MHI - Am. Indian	MHI - Asian	MHI - Latino	Edu - White - None	Edu - White - HS	Edu - White - College	Edu - Asian - None	Edu - Asian - HS	Edu - Asian - College	Edu - Black - None	Edu - Black - HS	Edu - Black - College	Edu - AmInd - None	Edu - AmInd - HS	Edu - AmInd - College	Eng - White - Good	Eng - White - Bad	Eng - Latino - Good	Eng - Latino - Bad
330M200US106	106	Albuquerque-Santa Fe-Las Vegas:NM CSA	1161042	840496	27554	71771	20564	47450	57390	41608	32784	56875	38302	13880	66808	164943	2267	1870	7066	1544	2940	5073	6297	13785	5715	443341	5117	443006	76876
330M200US108	108	Amarillo-Borger:TX CSA	278645	237319	15596	2091	7283	47831	53577	25468	34750	50000	36488	11666	31368	33633	2179	701	968	2201	2860	872	127	504	187	166273	846	51643	13173
330M200US122	122	Atlanta--Athens-Clarke County--Sandy Springs:GA CSA	6084521	3555128	1887012	17169	289927	53893	65099	41118	35820	64329	37185	200845	556590	857320	25826	31524	100604	139238	312788	304060	2378	3006	2164	2948226	35750	339024	239483
330M200US147	147	Boise City-Mountain Home-Ontario:ID-OR CSA	718010	654106	5709	4840	14096	47571	49492	46038	31563	60282	36501	27351	100640	118322	1541	1714	4143	256	853	702	504	1129	310	536400	4142	67657	20462
330M200US148	148	Boston-Worcester-Providence:MA-RI-NH-CT CSA	7994168	6523777	502469	17789	420357	66619	71682	42387	32865	74544	36393	335824	1167886	1809334	44590	42865	153539	56584	84955	69262	2092	3935	1534	5738954	154543	434237	238974
330M200US154	154	Brownsville-Harlingen-Raymondville:TX CSA	437234	398416	2517	778	2815	32287	45443	35838	28804	89659	30197	3604	10164	10831	181	217	1262	404	373	404	167	144	40	41490	1731	234945	115365
330M200US160	160	Buffalo-Cheektowaga:NY CSA	1213581	990436	137874	8724	29301	49432	54457	24169	34549	45078	27889	56683	216211	212499	2799	2036	9408	15604	24992	11791	928	1897	812	912916	11668	37186	8141
330M200US172	172	Charlotte-Concord:NC-SC CSA	2453600	1717553	534155	9370	69969	50465	57594	35077	40168	68269	38461	114324	280820	374860	7053	6686	23897	49828	98801	69799	1375	1701	904	1484835	11807	112370	83317
330M200US176	176	Chicago-Naperville:IL-IN-WI CSA	9891091	6677636	1649270	23274	564674	59566	70308	34645	45679	76703	45430	245304	999695	1619908	38906	45472	244794	152556	298204	205374	3216	3921	2474	4985610	224919	1183180	665156
330M200US178	178	Cincinnati-Wilmington-Maysville:OH-KY-IN CSA	2189249	1821993	260538	3996	43725	53383	58001	26883	40647	72191	42630	116414	384102	376225	3063	3536	17797	27455	51189	24822	652	623	396	1669068	8283	34831	16509
330M200US184	184	Cleveland-Akron-Canton:OH CSA	3503418	2791930	532842	6358	61689	47844	52960	26439	34795	63088	36650	174107	662418	548800	5866	5271	25596	59568	106290	46409	775	1598	557	2528787	42528	94994	25034
330M200US198	198	Columbus-Marion-Zanesville:OH CSA	2350615	1895677	293354	4129	64651	51819	55349	32428	28438	75492	35886	118124	418278	389875	4578	4731	28247	26499	52634	33457	645	1176	418	1729423	14072	46125	20894
330M200US204	204	Corpus Christi-Kingsville-Alice:TX CSA	510758	444003	17765	2632	7702	47059	57254	34380	26631	57402	41309	9345	33313	37008	760	737	2515	1421	3219	1655	586	582	257	159997	1445	240118	46547
330M200US206	206	Dallas-Fort Worth:TX-OK CSA	7089006	4995125	1030750	39882	379963	56603	68997	40013	51068	74300	41050	170691	580731	980636	30146	34845	139720	71093	177174	146472	4648	6478	4804	3373304	39911	1057397	653434
330M200US216	216	Denver-Aurora:CO CSA	3217195	2663283	153115	23865	116546	62220	69842	39597	40672	68353	42121	59338	285844	736006	10855	12190	38264	10011	24800	24119	2667	3929	2663	2016373	20918	487887	156037
330M200US220	220	Detroit-Warren-Ann Arbor:MI CSA	5311596	3823621	1103568	16108	185721	50699	57571	29516	34167	81217	40333	239381	737297	791359	12768	11287	78061	108127	209528	113318	1627	3094	1578	3391094	102925	155909	37006
330M200US238	238	El Paso-Las Cruces:TX-NM CSA	1041767	871966	31921	7492	11676	39856	55534	48173	33608	58739	34619	5395	23579	50129	706	878	4125	1301	4027	5227	1239	1154	791	160699	4073	488036	257315
330M200US246	246	Fayetteville-Lumberton-Laurinburg:NC CSA	545942	251191	181340	63360	9379	39889	48825	33303	28167	42166	38790	16280	42179	34886	1320	1551	1883	16223	34438	18077	11544	12166	4722	205810	1323	32854	11675
330M200US260	260	Fresno-Madera:CA CSA	1100197	671943	53447	13108	95958	43701	56415	27175	37070	46949	35560	22214	63291	74349	16560	10899	14580	5641	8332	4292	1946	2142	775	333794	5832	354481	154432
330M200US266	266	Grand Rapids-Wyoming-Muskegon:MI CSA	1395525	1208586	93398	7223	24084	50405	53236	24358	36964	55134	35711	58801	238339	218284	3943	2831	5269	11328	16201	6054	947	1836	515	1063060	7929	69410	26233
330M200US268	268	Greensboro--Winston-Salem--High Point:NC CSA	1610348	1157911	336817	6563	35220	42364	48649	30744	37470	50633	30450	97293	229322	213966	5886	4049	8463	32836	64243	40474	912	1356	846	1010808	5250	70654	55496
330M200US278	278	Hartford-West Hartford:CT CSA	1489503	1163962	148638	3873	63226	67036	75172	42068	52572	84937	33160	51964	217167	301701	5064	5647	23206	15806	30900	16950	397	840	317	996016	26617	121400	47989
330M200US288	288	Houston-The Woodlands:TX CSA	6375765	4213368	1096512	26276	425904	56288	75211	40018	49278	78031	42202	110932	413404	706330	40216	39266	156233	84688	189649	159127	4563	3968	3067	2330125	33318	1257657	778451
330M200US294	294	Indianapolis-Carmel-Muncie:IN CSA	2312297	1848106	291991	4677	48433	50315	54659	31338	33452	61849	32425	114674	391330	373313	4029	4795	18749	26467	55945	30076	624	1047	253	1670492	8862	72762	42795
330M200US300	300	Jacksonville-St. Marys-Palatka:FL-GA CSA	1502294	1071053	317736	4498	49515	50195	55499	32690	36071	67206	45479	68123	206300	202459	4556	5867	16127	29417	65392	31673	585	670	486	921539	12751	78872	23248
330M200US312	312	Kansas City-Overland Park-Kansas City:MO-KS CSA	2377124	1911748	267078	13340	56054	54480	59426	32772	49353	66480	39604	79369	336609	445515	5918	5211	18486	23137	50950	27914	972	2507	1422	1677268	9571	120476	46390
330M200US318	318	Lafayette-Opelousas-Morgan City:LA CSA	611771	415193	166646	2777	7929	43641	52183	26157	58011	54153	45116	44396	104360	57840	2056	912	1161	29431	35706	10009	499	670	279	370624	7211	11307	7001
330M200US330	330	Lansing-East Lansing-Owosso:MI CSA	535742	449199	39434	2153	18259	48345	51334	31629	47250	46272	34228	20094	78968	84221	1343	926	5766	2593	5591	5606	151	349	444	404225	3455	25765	3090
330M200US332	332	Las Vegas-Henderson:NV-AZ CSA	2243070	1511737	217385	16289	181838	48831	52406	36875	39120	60458	41440	74221	263955	207857	16416	28139	46806	17926	44082	22034	2242	3649	1015	1056420	16521	380954	188800
330M200US348	348	Los Angeles-Long Beach:CA CSA	18211563	10748528	1217986	108723	2291248	57859	71787	41272	44596	69155	46367	270516	875419	1832711	207778	243986	822892	91096	190535	183422	19038	19020	9917	5459509	260837	4957680	2594679
330M200US365	365	McAllen-Edinburg:TX CSA	867234	802532	5021	2706	8440	32890	46440	37323	32210	73937	30687	4591	14056	13768	297	481	3416	620	695	746	489	300	177	55978	2455	460404	251950
330M200US368	368	Memphis-Forrest City:TN-MS-AR CSA	1366133	653592	629538	2863	26452	46241	61481	32031	39093	67265	32451	35720	117523	149870	3045	2517	8871	70907	122672	62995	455	260	321	583648	3597	36281	23674
330M200US370	370	Miami-Fort Lauderdale-Port St. Lucie:FL CSA	6372833	4621629	1304186	12655	144040	46533	56333	35781	45126	62292	40856	125612	481870	680397	13702	17636	50567	167496	263291	135356	2016	2263	1255	2192943	86692	1333483	1034055
