Stat ID	Asian	Black	Latino	MHI	% College	 % Eng - Good	% Full-time
106-Asian	1	0	0	56875	0.488692164050073	0.665716757416925	0.431966971394869
122-Asian	1	0	0	64329	0.529308086095956	0.62570312212024	0.434645411414814
142-Asian	1	0	0	60721	0.582990135044536	0.73359607273733	0.496178186898989
148-Asian	1	0	0	74544	0.558345970202444	0.631737250106148	0.434861194653424
160-Asian	1	0	0	45078	0.573274023520809	0.613185445493814	0.300512012603387
168-Asian	1	0	0	51807	0.715680803571429	0.622916854337447	0.376924656128105
172-Asian	1	0	0	68269	0.516145057128664	0.668554060725747	0.477792103443766
176-Asian	1	0	0	76703	0.621575916389896	0.677973544205751	0.455845159477308
178-Asian	1	0	0	72191	0.628048134947242	0.696199097254767	0.475126387268539
184-Asian	1	0	0	63088	0.614653122973849	0.659976326488601	0.453123121919949
192-Asian	1	0	0	55379	0.487550200803213	0.646715629075434	0.404516640253566
198-Asian	1	0	0	75492	0.667052378028621	0.694367066437591	0.47909486578569
206-Asian	1	0	0	74300	0.558170007750142	0.660172793015905	0.470087396645526
212-Asian	1	0	0	63166	0.513823726541555	0.6544474393531	0.448107879130189
216-Asian	1	0	0	68353	0.491831514543889	0.651441493403646	0.452974083300555
218-Asian	1	0	0	61654	0.500897308075773	0.620618300707694	0.396309926397454
220-Asian	1	0	0	81217	0.653689622831111	0.68618807482373	0.426971949675858
260-Asian	1	0	0	46949	0.264140005072648	0.619735957807926	0.309211821274921
266-Asian	1	0	0	55134	0.364107525395619	0.625877677191433	0.399509937380888
268-Asian	1	0	0	50633	0.383983666061706	0.580384133866683	0.407881884439101
273-Asian	1	0	0	53319	0.429447394002842	0.666819642037632	0.44990513495318
276-Asian	1	0	0	70344	0.506760019314341	0.654105093788373	0.444249522728445
278-Asian	1	0	0	84937	0.574832796631162	0.677012493395374	0.470581029766037
288-Asian	1	0	0	78031	0.538281583770896	0.648042674267477	0.471211185289017
294-Asian	1	0	0	61849	0.587816654125909	0.646924778266795	0.454968944099379
300-Asian	1	0	0	67206	0.457075645494998	0.690792585902894	0.459631657541065
312-Asian	1	0	0	66480	0.515576628085344	0.65757885204524	0.459499907902008
330-Asian	1	0	0	46272	0.587169042769857	0.498301376173202	0.290339563042906
332-Asian	1	0	0	60458	0.352576946833994	0.69063143347039	0.428139222684261
348-Asian	1	0	0	69155	0.496419039897301	0.61175868736999	0.406868398240101
350-Asian	1	0	0	61761	0.535626698482137	0.660271639248734	0.445585444804108
357-Asian	1	0	0	48722	0.598421744848751	0.669121813031161	0.380403329920313
368-Asian	1	0	0	67265	0.501101508218946	0.636988250599667	0.446945495650464
370-Asian	1	0	0	62292	0.487397468891266	0.706916437098255	0.442704512298987
376-Asian	1	0	0	64108	0.502065448912412	0.666519953051643	0.418760469011725
378-Asian	1	0	0	65068	0.436066324195107	0.645141088926545	0.45029439596257
382-Asian	1	0	0	57848	0.286518633212514	0.648053035273887	0.326654740608229
400-Asian	1	0	0	68951	0.498781323787036	0.657699171616546	0.481033376123235
406-Asian	1	0	0	47169	0.355559246035041	0.591658207440139	0.398279387913405
408-Asian	1	0	0	76807	0.537443652083949	0.610836939118729	0.450305565587826
416-Asian	1	0	0	56765	0.410668047643708	0.604020183638018	0.432837257040221
420-Asian	1	0	0	57024	0.509660534215996	0.588607594936709	0.459580933088561
422-Asian	1	0	0	60757	0.470824776320892	0.725128330481545	0.416020175333253
428-Asian	1	0	0	68975	0.520073494058658	0.61287652235537	0.434935411705275
430-Asian	1	0	0	60548	0.705093216716536	0.655707906016472	0.42321352841391
440-Asian	1	0	0	64824	0.442705470535482	0.64459438800328	0.414080229881304
450-Asian	1	0	0	79599	0.681274601686973	0.723054773902232	0.491541161103505
456-Asian	1	0	0	57459	0.376378754454437	0.66608231071041	0.429510069990001
464-Asian	1	0	0	51777	0.529295885630664	0.64522052073005	0.409682207089226
472-Asian	1	0	0	60238	0.38612051819599	0.652312564442481	0.359302310400501
476-Asian	1	0	0	64539	0.626823982663135	0.684388199969465	0.439034229582266
482-Asian	1	0	0	58776	0.474889135254989	0.66902382782475	0.427766554433221
488-Asian	1	0	0	91555	0.523388018246204	0.65294415721174	0.43103653348811
500-Asian	1	0	0	72311	0.466694263450272	0.651305411545407	0.440704111797904
532-Asian	1	0	0	48966	0.531012795489048	0.608967010571902	0.315060055435787
536-Asian	1	0	0	43415	0.461246422522049	0.720014097192309	0.357972358369762
538-Asian	1	0	0	56263	0.394649108184697	0.605656862191611	0.462572898799314
545-Asian	1	0	0	65824	0.435067794645961	0.727855576176818	0.458372420262664
548-Asian	1	0	0	97987	0.615534756165354	0.690850011370522	0.506022761193363
556-Asian	1	0	0	51353	0.300253347810351	0.594241352201258	0.416341492254937
