Stat ID	Income	Asian	Black	Latino	Age	Population	Female	% College	 % Eng - Good	% Full-time
104-White	32453	0	0	0	43.7	986750	0.510610590321763	0.313769691152391	0.988241388021458	0.422430904188109
106-White	37359	0	0	0	49	466159	0.510907222642918	0.45297086802733	0.988589789902287	0.399764145124761
108-White	30129	0	0	0	41.1	177255	0.512239429071112	0.268947814544117	0.994937738976418	0.45601813342206
118-White	29036	0	0	0	39.9	356911	0.502385748828139	0.279344673640304	0.995747053485103	0.453265133318357
120-White	27287	0	0	0	46.3	400686	0.522002266113615	0.322213886417655	0.995774853724862	0.352041642023369
122-White	35161	0	0	0	40.7	3151182	0.508122031669386	0.388781513786389	0.988019340638128	0.43491130747473
140-White	27590	0	0	0	44.3	161523	0.506212737504876	0.31238356949584	0.996522169540979	0.303867236913439
142-White	29962	0	0	0	42	866305	0.513148371531966	0.289033178018609	0.995839279980564	0.401544363258264
144-White	24146	0	0	0	34.4	185382	0.503058549373726	0.305103262627057	0.994504469359024	0.344392714621918
145-White	31519	0	0	0	37.1	188720	0.514820898685884	0.354806829131699	0.997032375608475	0.426474473390854
146-White	24404	0	0	0	42.6	244445	0.509979750046023	0.184030346803838	0.987582208190495	0.384728940414623
147-White	25296	0	0	0	37.8	576473	0.502606366646833	0.305243117183308	0.992337320689234	0.399240193413382
148-White	39363	0	0	0	43.2	6171574	0.514882265042921	0.406871325566501	0.973777368513126	0.426077847341738
150-White	22837	0	0	0	38.6	186303	0.51193485880528	0.205725317242995	0.989166349144966	0.376552846388929
154-White	31455	0	0	0	54.7	44970	0.49610851678897	0.305399689835049	0.959950024293746	0.284990434827568
160-White	29994	0	0	0	44.1	968003	0.514264935129333	0.304293348760482	0.987380270478399	0.404771346306837
162-White	37446	0	0	0	55.7	668137	0.515338920011914	0.318244428094904	0.983577596475433	0.288324190217373
168-White	30866	0	0	0	37.3	367611	0.505640473217613	0.348929149036969	0.991360367270903	0.460555972952667
170-White	24323	0	0	0	42	654775	0.514430147760681	0.193694905189052	0.99838287821829	0.356989537327355
172-White	32724	0	0	0	41.2	1580576	0.510539828518211	0.335366862862454	0.992111005838404	0.430132540192525
174-White	24655	0	0	0	41.9	750172	0.514166084577937	0.201871745988644	0.99600464882929	0.386283085801468
176-White	39472	0	0	0	42.1	5482209	0.509577799751888	0.408087750903197	0.956833749509887	0.437187455111113
178-White	30356	0	0	0	39.8	1779894	0.509043796990158	0.309498131370841	0.995061856462959	0.428377312700003
184-White	29763	0	0	0	43.7	2701795	0.513416080790734	0.28339700470848	0.983460602843292	0.408733707049831
185-White	24096	0	0	0	42.3	18207	0.486845718679629	0.297229026331904	0.994567102069125	0.360775608800679
