Stat ID	Income	Asian	Black	Latino	Age	Female	College	Good English	Full-time Job
104-Asian	26356	1	0	0	30.7	0.518344337	0.588954893	0.696750436	0.370115392
104-Asian	26356	1	0	0	30.7	0.518344337	0.588954893	0.696750436	0.370115392
106-Asian	29113	1	0	0	37.8	0.586850807	0.488692164	0.665716757	0.431966971
106-Asian	29113	1	0	0	37.8	0.586850807	0.488692164	0.665716757	0.431966971
122-Asian	27452	1	0	0	34.2	0.514550214	0.529308086	0.625703122	0.434645411
122-Asian	27452	1	0	0	34.2	0.514550214	0.529308086	0.625703122	0.434645411
142-Asian	27052	1	0	0	34.4	0.549206552	0.582990135	0.733596073	0.496178187
142-Asian	27052	1	0	0	34.4	0.549206552	0.582990135	0.733596073	0.496178187
148-Asian	32811	1	0	0	32.6	0.525500943	0.55834597	0.63173725	0.434861195
148-Asian	32811	1	0	0	32.6	0.525500943	0.55834597	0.63173725	0.434861195
160-Asian	25767	1	0	0	27.1	0.496843111	0.573274024	0.613185445	0.300512013
160-Asian	25767	1	0	0	27.1	0.496843111	0.573274024	0.613185445	0.300512013
168-Asian	26617	1	0	0	28.9	0.512282455	0.715680804	0.622916854	0.376924656
168-Asian	26617	1	0	0	28.9	0.512282455	0.715680804	0.622916854	0.376924656
172-Asian	29278	1	0	0	32.8	0.514056225	0.516145057	0.668554061	0.477792103
172-Asian	29278	1	0	0	32.8	0.514056225	0.516145057	0.668554061	0.477792103
176-Asian	33523	1	0	0	35.9	0.522071142	0.621575916	0.677973544	0.455845159
176-Asian	33523	1	0	0	35.9	0.522071142	0.621575916	0.677973544	0.455845159
178-Asian	31799	1	0	0	32.5	0.529376787	0.628048135	0.696199097	0.475126387
178-Asian	31799	1	0	0	32.5	0.529376787	0.628048135	0.696199097	0.475126387
184-Asian	33296	1	0	0	33.9	0.524518147	0.614653123	0.659976326	0.453123122
184-Asian	33296	1	0	0	33.9	0.524518147	0.614653123	0.659976326	0.453123122
192-Asian	22359	1	0	0	31.7	0.529065301	0.487550201	0.646715629	0.40451664
192-Asian	22359	1	0	0	31.7	0.529065301	0.487550201	0.646715629	0.40451664
198-Asian	34984	1	0	0	32.1	0.513696617	0.667052378	0.694367066	0.479094866
198-Asian	34984	1	0	0	32.1	0.513696617	0.667052378	0.694367066	0.479094866
206-Asian	31621	1	0	0	34	0.514097425	0.558170008	0.660172793	0.470087397
206-Asian	31621	1	0	0	34	0.514097425	0.558170008	0.660172793	0.470087397
212-Asian	31555	1	0	0	36.3	0.564156285	0.513823727	0.654447439	0.448107879
212-Asian	31555	1	0	0	36.3	0.564156285	0.513823727	0.654447439	0.448107879
216-Asian	30078	1	0	0	34.1	0.540181559	0.491831515	0.651441493	0.452974083
216-Asian	30078	1	0	0	34.1	0.540181559	0.491831515	0.651441493	0.452974083
218-Asian	23305	1	0	0	28.8	0.501674945	0.500897308	0.620618301	0.396309926
218-Asian	23305	1	0	0	28.8	0.501674945	0.500897308	0.620618301	0.396309926
220-Asian	33242	1	0	0	33.9	0.512548392	0.653689623	0.686188075	0.42697195
220-Asian	33242	1	0	0	33.9	0.512548392	0.653689623	0.686188075	0.42697195
260-Asian	18170	1	0	0	28.9	0.512203256	0.264140005	0.619735958	0.309211821
260-Asian	18170	1	0	0	28.9	0.512203256	0.264140005	0.619735958	0.309211821
266-Asian	19972	1	0	0	31.1	0.530767314	0.364107525	0.625877677	0.399509937
266-Asian	19972	1	0	0	31.1	0.530767314	0.364107525	0.625877677	0.399509937
268-Asian	22168	1	0	0	32.5	0.530692788	0.383983666	0.580384134	0.407881884
268-Asian	22168	1	0	0	32.5	0.530692788	0.383983666	0.580384134	0.407881884
273-Asian	24060	1	0	0	32.7	0.538337215	0.429447394	0.666819642	0.449905135
273-Asian	24060	1	0	0	32.7	0.538337215	0.429447394	0.666819642	0.449905135
276-Asian	29924	1	0	0	34.1	0.534747884	0.506760019	0.654105094	0.444249523
276-Asian	29924	1	0	0	34.1	0.534747884	0.506760019	0.654105094	0.444249523
278-Asian	34125	1	0	0	32.3	0.514724955	0.574832797	0.677012493	0.47058103
